,Year,Selling_Price,Kms_Driven,Fuel_Type,Transmission,Owner,Brand
224,2014,250000.0,100000,Petrol,Manual,First Owner,Tata
226,2015,585000.0,24000,Petrol,Manual,First Owner,Maruti
227,2019,1195000.0,5000,Diesel,Manual,First Owner,Hyundai
228,2013,390000.0,33000,Diesel,Manual,Second Owner,Chevrolet
230,2013,1425000.0,59000,Diesel,Automatic,First Owner,Mercedes-Benz
231,2018,975000.0,4500,Diesel,Automatic,First Owner,Maruti
233,2018,930000.0,14500,Petrol,Manual,First Owner,Honda
234,2018,525000.0,15000,Petrol,Manual,First Owner,Tata
236,2012,1375000.0,33800,Diesel,Automatic,Second Owner,Mercedes-Benz
237,2011,450000.0,130400,Diesel,Automatic,Second Owner,Skoda
238,2016,900000.0,50000,Petrol,Automatic,First Owner,Toyota
239,2015,1300000.0,80000,Diesel,Manual,First Owner,Toyota
240,2019,1400000.0,10000,Petrol,Manual,First Owner,Others
241,2010,850000.0,119000,Petrol,Automatic,First Owner,Mercedes-Benz
242,2014,229999.0,60000,Petrol,Manual,Others,Hyundai
244,2009,1250000.0,78000,Diesel,Automatic,Others,Audi
245,2012,625000.0,40000,Diesel,Manual,First Owner,Hyundai
246,2014,1050000.0,50000,Diesel,Manual,First Owner,Mahindra
247,2014,560000.0,74000,Diesel,Manual,Second Owner,Honda
248,2014,290000.0,64000,Petrol,Manual,Second Owner,Maruti
249,2012,275000.0,60000,Petrol,Manual,Second Owner,Maruti
250,2009,411000.0,120000,Diesel,Manual,Second Owner,Mahindra
251,2009,150000.0,79000,Petrol,Manual,Others,Hyundai
252,2019,500000.0,15000,Petrol,Manual,First Owner,Hyundai
253,2006,100000.0,80000,Petrol,Manual,First Owner,Maruti
254,2017,725000.0,18500,Diesel,Manual,First Owner,Maruti
255,2018,401000.0,10200,Petrol,Manual,First Owner,Maruti
256,2018,750000.0,29000,Diesel,Manual,First Owner,Hyundai
257,2018,310000.0,28000,Petrol,Manual,First Owner,Maruti
258,2016,665000.0,46000,Diesel,Manual,First Owner,Maruti
259,2014,465000.0,70000,Diesel,Manual,First Owner,Hyundai
260,2012,160000.0,60000,Petrol,Manual,Second Owner,Maruti
261,1996,250000.0,35000,Diesel,Manual,Second Owner,Mahindra
262,2014,675000.0,90000,Diesel,Manual,First Owner,Honda
263,2013,300000.0,80000,Petrol,Manual,First Owner,Maruti
264,2005,70000.0,80000,Diesel,Manual,First Owner,Tata
265,2014,240000.0,73300,Petrol,Manual,Second Owner,Hyundai
266,2014,525000.0,92000,Diesel,Manual,First Owner,Toyota
267,2009,151000.0,66764,Petrol,Manual,Second Owner,Maruti
268,2009,140000.0,100000,Petrol,Manual,First Owner,Maruti
271,2017,570000.0,60000,Diesel,Manual,First Owner,Mahindra
272,2018,300000.0,31000,Petrol,Manual,First Owner,Hyundai
273,2007,100000.0,39000,Diesel,Manual,First Owner,Tata
274,2009,500000.0,120000,Diesel,Manual,Others,Toyota
275,2014,125000.0,166000,Diesel,Manual,Others,Tata
276,2006,130000.0,110000,Petrol,Manual,Others,Maruti
277,2017,925000.0,35000,Diesel,Manual,First Owner,Ford
278,2018,750000.0,60000,Diesel,Manual,First Owner,Maruti
279,2007,200000.0,54000,Petrol,Automatic,Second Owner,Honda
280,2010,248000.0,63000,Petrol,Manual,Second Owner,Hyundai
281,2014,450000.0,120000,Diesel,Manual,Second Owner,Skoda
282,2005,80000.0,120000,Petrol,Manual,Others,Hyundai
283,2014,650000.0,76000,Petrol,Manual,Second Owner,Nissan
284,2015,450000.0,80000,Diesel,Manual,First Owner,Hyundai
285,2019,650000.0,25000,Diesel,Manual,First Owner,Hyundai
286,2016,495000.0,11958,Petrol,Manual,First Owner,Honda
287,2015,371000.0,20000,Petrol,Manual,First Owner,Honda
288,2017,1025000.0,9000,Petrol,Manual,First Owner,Hyundai
290,2015,750000.0,70000,Diesel,Manual,First Owner,Mahindra
291,2013,600000.0,120000,Diesel,Manual,First Owner,Renault
292,2007,80000.0,58000,Petrol,Manual,Second Owner,Hyundai
293,2013,325000.0,62200,Diesel,Manual,First Owner,Mahindra
295,2015,350000.0,53000,Diesel,Manual,Second Owner,Others
297,2017,210000.0,15000,Petrol,Manual,Second Owner,Datsun
298,2013,450000.0,50000,Petrol,Manual,First Owner,Volkswagen
299,2013,1150000.0,53000,Diesel,Automatic,First Owner,Audi
300,2009,210000.0,63500,Petrol,Automatic,First Owner,Honda
304,2008,175000.0,29173,Petrol,Manual,First Owner,Maruti
306,2017,628000.0,120000,Diesel,Manual,First Owner,Mahindra
307,2010,600000.0,100000,Diesel,Manual,First Owner,Hyundai
308,2017,399000.0,30000,Petrol,Manual,First Owner,Nissan
309,2018,750000.0,87000,Diesel,Manual,First Owner,Mahindra
310,2019,750000.0,15000,Petrol,Manual,First Owner,Hyundai
311,2017,315000.0,16000,Petrol,Manual,First Owner,Renault
312,2012,600000.0,60000,Diesel,Manual,First Owner,Mahindra
313,2010,100000.0,60000,Petrol,Manual,Others,Maruti
314,2011,250000.0,110000,Petrol,Manual,Others,Maruti
315,2017,350000.0,25000,Petrol,Manual,First Owner,Renault
316,2016,780000.0,60000,Diesel,Manual,First Owner,Hyundai
317,2014,434000.0,79350,Diesel,Manual,Second Owner,Maruti
318,2016,690000.0,80000,Petrol,Automatic,First Owner,Hyundai
319,2014,555000.0,90000,Diesel,Manual,Second Owner,Mahindra
320,2007,120000.0,90000,Petrol,Manual,Second Owner,Maruti
321,2014,500000.0,120000,Diesel,Manual,Second Owner,Maruti
322,2013,165000.0,60000,Diesel,Manual,Second Owner,Chevrolet
323,2004,95000.0,50000,Petrol,Manual,First Owner,Maruti
324,2018,550000.0,20000,Petrol,Manual,First Owner,Maruti
325,2007,100000.0,110000,Diesel,Manual,Others,Maruti
326,2012,100000.0,50000,Petrol,Manual,Second Owner,Tata
327,2012,500000.0,100000,Diesel,Manual,First Owner,Toyota
328,2016,800000.0,70000,Diesel,Manual,Second Owner,Maruti
329,2016,840000.0,70000,Diesel,Manual,Second Owner,Hyundai
330,2016,490000.0,50000,Petrol,Manual,First Owner,Honda
331,2010,125000.0,81000,Diesel,Manual,Second Owner,Tata
332,2012,400000.0,120000,Diesel,Manual,Others,Chevrolet
333,2015,1000000.0,3600,Diesel,Manual,First Owner,Chevrolet
334,2015,530000.0,14272,Petrol,Manual,First Owner,Ford
335,2017,840000.0,49213,Diesel,Manual,First Owner,Ford
336,2015,229999.0,40000,Petrol,Manual,First Owner,Hyundai
337,1998,40000.0,40000,Petrol,Manual,Others,Maruti
338,2012,130000.0,80000,Petrol,Manual,First Owner,Chevrolet
339,2015,200000.0,70000,Petrol,Manual,First Owner,Hyundai
340,2011,120000.0,70000,Diesel,Manual,First Owner,Tata
341,2003,75000.0,57000,Petrol,Manual,First Owner,Hyundai
342,2016,250000.0,120000,Diesel,Manual,First Owner,Tata
343,2005,100000.0,30000,Petrol,Manual,First Owner,Maruti
344,2013,280000.0,3240,Petrol,Manual,Second Owner,Hyundai
345,2015,540000.0,5000,Petrol,Manual,First Owner,Hyundai
346,2018,700000.0,10000,Petrol,Manual,First Owner,Hyundai
347,2015,525000.0,100000,Diesel,Manual,First Owner,Maruti
348,2016,430000.0,80000,Diesel,Manual,First Owner,Hyundai
349,2002,65000.0,70000,Petrol,Manual,First Owner,Hyundai
350,2018,800000.0,35000,Diesel,Manual,First Owner,Maruti
351,2007,75000.0,114000,Petrol,Manual,Second Owner,Hyundai
352,2008,210000.0,53772,Petrol,Manual,First Owner,Hyundai
353,2012,195000.0,140000,Diesel,Manual,Second Owner,Mahindra
354,2015,400000.0,120000,Diesel,Manual,First Owner,Chevrolet
355,2012,170000.0,60000,Petrol,Manual,First Owner,Hyundai
356,2016,225000.0,25000,Petrol,Manual,First Owner,Renault
357,2014,210000.0,90000,others,Manual,First Owner,Maruti
358,2020,240000.0,120000,Petrol,Manual,First Owner,Maruti
360,2011,99000.0,100000,Petrol,Manual,Others,Chevrolet
361,2014,620000.0,36000,Petrol,Manual,First Owner,Honda
362,2013,500000.0,30000,Diesel,Manual,First Owner,Honda
364,2013,260000.0,70000,Petrol,Manual,Second Owner,Honda
365,2017,550000.0,60000,Petrol,Manual,First Owner,Maruti
366,2011,150000.0,155500,Diesel,Manual,First Owner,Tata
367,2011,350000.0,50000,Petrol,Automatic,Second Owner,Hyundai
368,2016,320000.0,40000,Petrol,Manual,First Owner,Chevrolet
369,2015,400000.0,100000,Diesel,Manual,Others,Maruti
370,2012,175000.0,80000,Petrol,Manual,Others,Maruti
371,2011,120000.0,90000,Petrol,Manual,Second Owner,Chevrolet
372,2013,320000.0,90000,Diesel,Manual,Second Owner,Renault
373,2006,70000.0,110000,Petrol,Manual,Others,Hyundai
374,2019,810000.0,15000,Petrol,Manual,First Owner,Maruti
375,2007,95000.0,100000,Petrol,Manual,Second Owner,Maruti
376,2020,282000.0,40000,others,Manual,First Owner,Maruti
377,2004,80000.0,60000,Petrol,Manual,Second Owner,Maruti
378,2013,72000.0,25000,Petrol,Manual,First Owner,Tata
379,2016,600000.0,25000,Petrol,Manual,First Owner,Hyundai
380,2015,640000.0,23000,Petrol,Manual,First Owner,Skoda
381,2018,380000.0,22155,Petrol,Manual,First Owner,Maruti
382,2018,650000.0,70000,Petrol,Manual,First Owner,Maruti
383,2009,150000.0,60000,Petrol,Manual,Second Owner,Maruti
384,2009,280000.0,110000,Petrol,Manual,Second Owner,Hyundai
385,2018,430000.0,30000,Petrol,Manual,First Owner,Tata
386,2019,800000.0,15000,Diesel,Manual,First Owner,Mahindra
387,2003,75000.0,100000,Diesel,Manual,Second Owner,Maruti
388,2016,650000.0,70000,Diesel,Automatic,First Owner,Volkswagen
389,2017,390000.0,24000,Petrol,Manual,First Owner,Maruti
390,2005,100000.0,120000,Petrol,Manual,Second Owner,Honda
392,2007,175000.0,78380,Petrol,Manual,First Owner,Maruti
393,2012,434999.0,110000,Diesel,Manual,Second Owner,Renault
394,2010,170000.0,90000,Diesel,Manual,Others,Ford
395,2011,190000.0,90000,Diesel,Manual,Others,Ford
396,2009,250000.0,150000,Diesel,Manual,Others,Maruti
398,2006,140000.0,70000,Petrol,Manual,Others,Maruti
399,2017,600000.0,80362,Diesel,Manual,First Owner,Maruti
400,2012,280000.0,110000,Petrol,Manual,Others,Hyundai
401,2012,150000.0,60000,Diesel,Manual,First Owner,Chevrolet
402,2015,650000.0,50000,Diesel,Automatic,First Owner,Chevrolet
403,2014,210000.0,40000,Petrol,Manual,Second Owner,Nissan
405,2013,425000.0,20000,Diesel,Manual,First Owner,Chevrolet
406,2014,265000.0,55000,Petrol,Manual,First Owner,Hyundai
407,2018,890000.0,1136,Petrol,Manual,First Owner,Others
408,2013,365000.0,55000,Petrol,Manual,First Owner,Renault
409,2014,350000.0,43000,Petrol,Manual,First Owner,Ford
410,2016,685000.0,60000,Diesel,Manual,First Owner,Maruti
411,2018,940000.0,2650,Diesel,Manual,First Owner,Skoda
412,2017,1000000.0,40000,Diesel,Manual,First Owner,Mahindra
413,2019,1150000.0,15000,Petrol,Manual,First Owner,Mahindra
414,2016,450000.0,115962,Diesel,Manual,Second Owner,Maruti
415,2015,590000.0,65000,Diesel,Manual,First Owner,Nissan
416,2017,800000.0,40000,Diesel,Manual,First Owner,Maruti
417,2012,385000.0,58000,Diesel,Manual,First Owner,Hyundai
419,2012,235000.0,54000,Petrol,Manual,First Owner,Hyundai
420,2017,640000.0,56000,Diesel,Manual,First Owner,Volkswagen
421,2006,52000.0,120000,Petrol,Manual,Others,Maruti
422,2009,80000.0,90000,others,Manual,Second Owner,Maruti
423,2012,140000.0,70000,Petrol,Manual,Second Owner,Maruti
424,2008,120000.0,90000,Petrol,Manual,Second Owner,Hyundai
426,2012,180000.0,120000,Diesel,Manual,First Owner,Chevrolet
428,2017,700000.0,10000,Petrol,Manual,First Owner,Hyundai
429,2012,285000.0,80000,Diesel,Manual,Second Owner,Maruti
430,2015,390000.0,90000,Petrol,Manual,First Owner,Hyundai
431,2008,125000.0,80000,Petrol,Manual,First Owner,Maruti
432,2008,225000.0,60000,Petrol,Manual,Second Owner,Maruti
433,2011,175000.0,139000,Petrol,Manual,Second Owner,Hyundai
434,2011,1075000.0,160000,Diesel,Manual,Second Owner,Toyota
435,2014,300000.0,150000,Diesel,Manual,First Owner,Honda
436,2010,700000.0,163000,Diesel,Manual,Others,Toyota
437,2009,90000.0,120000,Diesel,Manual,First Owner,Tata
438,2011,120000.0,120000,Diesel,Manual,Second Owner,Tata
439,2012,220000.0,100000,Diesel,Manual,Second Owner,Chevrolet
440,2015,300000.0,140000,Diesel,Manual,First Owner,Tata
441,2010,180000.0,87000,Diesel,Manual,Second Owner,Skoda
442,2013,170000.0,70000,Petrol,Manual,First Owner,Maruti
443,2015,300000.0,50000,Petrol,Manual,Second Owner,Ford
444,2014,1050000.0,70000,Diesel,Manual,First Owner,Toyota
445,2014,300000.0,150000,Diesel,Manual,First Owner,Honda
446,2018,465000.0,25000,Diesel,Manual,First Owner,Hyundai
447,2011,130000.0,80000,Diesel,Manual,Second Owner,Chevrolet
448,2018,434999.0,10000,Petrol,Manual,First Owner,Datsun
449,2018,500000.0,32000,Petrol,Manual,First Owner,Hyundai
450,2018,200000.0,10000,Petrol,Manual,First Owner,Maruti
451,2017,625000.0,52000,Petrol,Manual,First Owner,Maruti
452,2006,110000.0,120000,Diesel,Manual,Others,Ford
453,2019,800000.0,11240,Petrol,Manual,First Owner,Hyundai
454,2017,490000.0,66000,Diesel,Manual,First Owner,Hyundai
455,2017,880000.0,64000,Diesel,Manual,First Owner,Maruti
456,2013,290000.0,49000,Petrol,Manual,First Owner,Hyundai
457,2006,115999.0,100000,Diesel,Manual,Second Owner,Tata
458,2018,360000.0,26500,Petrol,Manual,First Owner,Renault
459,2002,65000.0,100000,Petrol,Manual,Second Owner,Maruti
460,2017,685000.0,72000,Diesel,Manual,First Owner,Maruti
461,2009,300000.0,50000,Petrol,Manual,First Owner,Honda
462,2017,680000.0,44000,Diesel,Manual,First Owner,Hyundai
463,2017,1000000.0,60000,Diesel,Manual,Second Owner,Maruti
464,2002,100000.0,120000,Diesel,Manual,First Owner,Tata
465,2010,160000.0,130000,Diesel,Manual,First Owner,Mahindra
466,2017,450000.0,70000,Diesel,Manual,First Owner,Maruti
467,2014,600000.0,20000,Petrol,Manual,First Owner,Maruti
468,2009,180000.0,60000,Diesel,Manual,Second Owner,Hyundai
470,2010,120000.0,90000,Petrol,Manual,Second Owner,Maruti
471,2006,130000.0,80000,Petrol,Manual,Others,Hyundai
